name,neighbourhood_cleansed,price_USD,latitude,longitude,property_group,accommodates,listing_url,bathrooms,bedrooms,license,host_since,host_response_time,host_response_rate,host_acceptance_rate,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
Victorian Haven - Private Basement!,"Takoma, Brightwood, Manor Park",90,38.97474,-77.01997,Entire Properties,2,https://www.airbnb.com/rooms/201116,1,1,with hosted license,2011-08-17,within a day,100%,100%,4.49,4.58,4.4,4.76,4.81,4.85,4.55,1.45
ROOM FOR RENT IN A NICE AREA OF DC,"Colonial Village, Shepherd Park, North Portal Estates",90,38.98853,-77.04441,Private room,2,https://www.airbnb.com/rooms/223203,1.5,1,with hosted license,2011-09-14,within an hour,100%,33%,4.8,4.67,4.67,4.87,4.93,4.93,4.73,0.1
Private Retreat Apt. in DC. Pets are Welcome Free!,"Brightwood Park, Crestwood, Petworth",123,38.94482,-77.04437,Entire Properties,3,https://www.airbnb.com/rooms/223922,1.5,1,with both hosted and unhosted license,2011-06-24,within an hour,100%,99%,4.75,4.75,4.75,4.95,4.9,4.77,4.73,1.33
LUXURY LIVING AT A BARGAIN,"Colonial Village, Shepherd Park, North Portal Estates",90,38.98853,-77.04441,Private room,3,https://www.airbnb.com/rooms/251611,1.5,1,with hosted license,2011-09-14,within an hour,100%,33%,5,5,4,5,5,5,5,0.02
NICE HOUSE IN A VERY NICE NEIGHBORHOOD,"Colonial Village, Shepherd Park, North Portal Estates",90,38.98853,-77.04441,Private room,2,https://www.airbnb.com/rooms/251615,1.5,1,with hosted license,2011-09-14,within an hour,100%,33%,4.83,5,4.83,5,5,4.83,4.67,0.08
LUXURY LIVING AT A BARGAIN,"Colonial Village, Shepherd Park, North Portal Estates",90,38.98853,-77.04441,Private room,2,https://www.airbnb.com/rooms/251619,1.5,1,with hosted license,2011-09-14,within an hour,100%,33%,4.67,4.89,4.67,5,5,4.78,4.67,0.07
Guest bedroom and private bath.,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",58,38.96691,-77.0044,Private room,1,https://www.airbnb.com/rooms/262629,1,1,Exempt,2009-09-06,within a few hours,100%,43%,4.88,4.74,4.7,4.95,5,4.58,4.8,0.27
"Cozy Rowhouse Near Logan Circle, Convention Center","Shaw, Logan Circle",190,38.91001,-77.02563,Entire Properties,2,https://www.airbnb.com/rooms/290001,1,1,with unhosted license,2011-12-14,within a few hours,100%,89%,4.86,4.89,4.87,4.99,4.98,4.91,4.83,1.21
Charming Dupont English Basement,"Dupont Circle, Connecticut Avenue/K Street",149,38.9146,-77.03602,Entire Properties,4,https://www.airbnb.com/rooms/296196,1,1,with hosted license,2011-12-22,within an hour,100%,100%,4.9,4.91,4.83,4.98,4.98,4.95,4.92,0.59
Red Room - Washington 1-2/p Bedroom near Metro,"Colonial Village, Shepherd Park, North Portal Estates",95,38.9806,-77.03084,Private room,2,https://www.airbnb.com/rooms/299030,1,1,with hosted license,2011-12-27,within a few hours,100%,83%,4.87,4.95,4.85,4.95,4.95,4.83,4.85,0.28
"Spacious Dupont Circle Apt: Walk to Metro, Shops!","Dupont Circle, Connecticut Avenue/K Street",115,38.91297,-77.0465,Entire Properties,4,https://www.airbnb.com/rooms/306465,1,2,with hosted license,2011-07-01,within a few hours,100%,0%,4.56,4.58,4.74,4.58,4.68,4.95,4.47,0.13
Blue Room - Washington 1-2p Bedroom Near Metro,"Colonial Village, Shepherd Park, North Portal Estates",98,38.9793,-77.0283,Private room,2,https://www.airbnb.com/rooms/313405,1,1,with hosted license,2011-12-27,within a few hours,100%,83%,4.88,4.91,4.84,4.98,4.95,4.88,4.88,0.3
METRO ACCESSIBLE TWO BEDROOM APT,"Capitol View, Marshall Heights, Benning Heights",80,38.89094,-76.93638,Entire Properties,6,https://www.airbnb.com/rooms/339208,1,2,with hosted license,2012-02-08,within an hour,100%,100%,4.74,4.75,4.64,4.92,4.94,4.18,4.78,1.1
Steps for US Capitol .. Library of Congress,"Capitol Hill, Lincoln Park",205,38.88408,-77.0035,Entire Properties,3,https://www.airbnb.com/rooms/355527,1,1,with hosted license,2011-09-01,within an hour,100%,56%,4.79,4.81,4.86,4.89,4.82,4.91,4.71,1.01
"The Buddha behind the ""Blue Door""",Historic Anacostia,396,38.86256,-76.98689,Private room,2,https://www.airbnb.com/rooms/437005,2,1,no information,2012-04-18,N/A,N/A,N/A,4.85,4.87,4.89,4.89,4.92,4.21,4.78,0.71
2 Level Modern Condo in City Center,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",125,38.90549,-77.02847,Entire Properties,2,https://www.airbnb.com/rooms/446147,1.5,1,no information,2012-04-24,N/A,N/A,N/A,4.91,NA,NA,NA,NA,NA,NA,NA
Efficiency suite in Capitol Hill,"Union Station, Stanton Park, Kingman Park",95,38.89538,-76.98648,Entire Properties,2,https://www.airbnb.com/rooms/453315,1,1,with hosted license,2012-04-29,within an hour,100%,99%,4.88,4.94,4.92,4.97,4.95,4.81,4.85,6.7
Upstair Private Close to Everything,"Howard University, Le Droit Park, Cardozo/Shaw",76,38.91454,-77.01814,Private room,2,https://www.airbnb.com/rooms/501809,1.5,1,no information,2011-04-03,within a day,100%,38%,4.86,4.91,4.71,4.97,5,4.8,4.8,0.26
Capitol Hill-SLPS 4-Walk 2 blk Metro/Cafes,"Capitol Hill, Lincoln Park",135,38.88183,-76.98911,Entire Properties,4,https://www.airbnb.com/rooms/525672,1,1,with hosted license,2012-06-08,within an hour,100%,91%,4.87,4.91,4.92,4.91,4.88,4.67,4.82,1.84
Ground floor apartment by Eastern Market metro,"Capitol Hill, Lincoln Park",145,38.88745,-76.99293,Entire Properties,2,https://www.airbnb.com/rooms/542144,1,1,no information,2012-06-17,N/A,N/A,100%,4.91,4.97,4.81,4.94,5,4.97,4.81,0.25
Spacious Downtown DC Apartment,"Edgewood, Bloomingdale, Truxton Circle, Eckington",126,38.91096,-77.00858,Entire Properties,6,https://www.airbnb.com/rooms/561697,1,1,with hosted license,2012-06-27,within an hour,100%,97%,4.77,4.81,4.85,4.93,4.89,4.62,4.78,2.42
Stylish Studio in Dupont Circle with Washer/Dryer,"Dupont Circle, Connecticut Avenue/K Street",130,38.91563852430024,-77.03795508901203,Entire Properties,2,https://www.airbnb.com/rooms/563607,1,1,with hosted license,2012-06-28,within an hour,100%,100%,4.79,4.85,4.7,4.93,4.95,4.95,4.73,1.69
Georgetown's Chateau Bleu - Prv Rm2,"Georgetown, Burleith/Hillandale",139,38.91504,-77.07064,Private room,2,https://www.airbnb.com/rooms/654835,1,1,no information,2012-01-30,within an hour,100%,100%,4.62,4.43,4.29,4.71,4.93,4.93,4.36,0.1
"Master Suite- Private Deck, Whirlpool bath","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",75,38.92539,-77.02934,Private room,1,https://www.airbnb.com/rooms/660514,1.5,1,no information,2012-04-26,within a few hours,100%,100%,4.2,4.2,4.6,4.2,4.2,4.6,4.2,0.07
Southern Suite,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",60,38.92632759125191,-77.02766898838884,Private room,1,https://www.airbnb.com/rooms/660537,1.5,1,no information,2012-04-26,within a few hours,100%,100%,5,5,5,5,5,4.5,4.5,0.22
Master BR and Bath in Sunny TH,"Douglas, Shipley Terrace",150,38.85045,-76.97992,Private room,2,https://www.airbnb.com/rooms/688914,1,1,no information,2012-09-09,within a day,70%,65%,5,4.9,4.8,4.9,5,4.5,5,0.16
Apartment near Rock Creek Park,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",66,38.93605,-77.04289,Entire Properties,1,https://www.airbnb.com/rooms/723716,1,1,with hosted license,2012-08-02,within an hour,100%,91%,4.61,4.78,4.69,4.87,4.89,4.8,4.71,0.42
Cozy Cabin in the City on Cap Hill,"Union Station, Stanton Park, Kingman Park",125,38.89707,-76.9881,Entire Properties,2,https://www.airbnb.com/rooms/748316,1,1,with hosted license,2011-11-12,within an hour,100%,100%,4.88,4.93,4.91,4.94,4.94,4.75,4.86,5.34
Romantic Studio in Perfect Location,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",70,38.93624,-77.05813,Entire Properties,2,https://www.airbnb.com/rooms/763569,1,1,no information,2011-06-24,within an hour,100%,99%,4.83,4.83,4.44,4.94,4.94,5,4.61,0.14
Quaint 3/2.5 home in Fort Dupont,"Capitol View, Marshall Heights, Benning Heights",107,38.88023,-76.93999,Entire Properties,8,https://www.airbnb.com/rooms/792286,2.5,3,with hosted license,2010-03-29,within an hour,100%,100%,4.43,4.29,4.14,4.86,4.86,4.57,4.43,1.76
Lovely Comfortable Home w/FREE PARKING,"River Terrace, Benning, Greenway, Dupont Park",400,38.88529,-76.9509,Entire Properties,6,https://www.airbnb.com/rooms/792578,2.5,3,with hosted license,2012-10-31,N/A,N/A,0%,4.42,4.76,4.28,4.8,4.8,4.06,4.43,0.67
Walkers Paradise  with Private Patio,"Howard University, Le Droit Park, Cardozo/Shaw",146,38.91646194458008,-77.03011322021484,Entire Properties,2,https://www.airbnb.com/rooms/800076,1,1,with hosted license,2012-10-16,within an hour,100%,100%,4.8,4.81,4.94,4.89,4.9,4.89,4.7,1.74
Cozy comfort and convenience in DC,"Cathedral Heights, McLean Gardens, Glover Park",125,38.92087,-77.07631,Private room,6,https://www.airbnb.com/rooms/808830,2.5,2,with hosted license,2012-10-05,within an hour,100%,88%,4.9,4.94,4.96,4.97,4.96,4.93,4.88,3.04
"Private floor with 3BR/2BA, free pkg, Metro","Friendship Heights, American University Park, Tenleytown",168,38.94291,-77.07173,Private room,6,https://www.airbnb.com/rooms/828497,2,3,with hosted license,2012-10-10,within a few hours,100%,100%,4.89,4.92,4.79,4.95,4.97,4.93,4.84,0.9
Metro Style Living in Washington DC,"Brightwood Park, Crestwood, Petworth",39,38.93719,-77.02335,Private room,1,https://www.airbnb.com/rooms/841260,2,1,no information,2010-12-10,within an hour,88%,67%,4.44,4.44,4.06,4.81,4.88,4.56,4.38,0.12
Luxury Penthouse in the heart of DC!,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",150,38.89898,-77.01629,Entire Properties,2,https://www.airbnb.com/rooms/842418,1.5,1,no information,2012-04-27,within an hour,100%,60%,4.78,4.85,4.69,4.5,4.66,4.95,4.67,0.48
Luxury Spacious Master Suite RoofDeck in DuPont,"Dupont Circle, Connecticut Avenue/K Street",153,38.90847,-77.04681,Private room,3,https://www.airbnb.com/rooms/860336,1,1,with hosted license,2011-04-15,within an hour,100%,100%,4.74,4.81,4.84,4.88,4.88,4.94,4.69,3.91
Gorgeous cozy room available in the heart of DC,"Howard University, Le Droit Park, Cardozo/Shaw",35,38.91785,-77.01498,Private room,1,https://www.airbnb.com/rooms/860776,3,1,no information,2010-12-10,within an hour,88%,67%,4.42,4.42,4.21,4.84,4.74,4.89,4.32,0.21
Private BR Shared Bath Sunny TH - B,"Douglas, Shipley Terrace",65,38.8491,-76.97982,Private room,2,https://www.airbnb.com/rooms/861775,1,1,no information,2012-09-09,within a day,70%,65%,4.83,4.83,4.83,4.87,4.79,4.13,4.7,0.21
Spacious English Basement w/ Natural Sun & Parking,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",90,38.95345,-76.99504,Entire Properties,3,https://www.airbnb.com/rooms/873182,1,1,with hosted license,2013-01-06,within a few hours,100%,100%,4.63,4.85,4.88,4.88,4.96,4.75,4.69,0.51
Tenleytown/AU Park Basement Apt.,"Friendship Heights, American University Park, Tenleytown",100,38.94492,-77.09234,Entire Properties,2,https://www.airbnb.com/rooms/886283,1,1,with both hosted and unhosted license,2013-01-14,N/A,N/A,100%,4.64,4.8,4.85,4.88,4.84,4.79,4.64,0.4
Cozy room right next to the petworth metro station,"Brightwood Park, Crestwood, Petworth",39,38.93788,-77.02313,Private room,1,https://www.airbnb.com/rooms/887461,2,1,no information,2010-12-10,within an hour,88%,67%,4.5,4.44,4,4.78,4.78,4.89,4.28,0.16
PERFECT ROOM FOR INTERNS OR STUDENTS,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38,38.93664,-77.02298,Private room,1,https://www.airbnb.com/rooms/888029,2,1,no information,2010-12-10,within an hour,88%,67%,4.59,4.41,4,5,5,4.94,4.47,0.13
welcome to foggy bottom - on metro!,"West End, Foggy Bottom, GWU",165,38.90153,-77.05434,Entire Properties,5,https://www.airbnb.com/rooms/898543,2,3,no information,2013-01-21,within a day,100%,0%,4.91,4.94,4.94,4.97,4.96,4.95,4.78,1.38
welcome to the heart of washington,"West End, Foggy Bottom, GWU",180,38.8996,-77.05277,Entire Properties,5,https://www.airbnb.com/rooms/898544,2,3,no information,2013-01-21,within a day,100%,0%,4.91,4.95,4.95,4.98,4.97,4.95,4.83,1.02
Primo Live-In Office Near Downtown,"Shaw, Logan Circle",89,38.91054,-77.02149,Private room,2,https://www.airbnb.com/rooms/902573,1,1,no information,2011-04-03,within a day,100%,38%,4.74,4.59,4.55,4.73,4.77,4.68,4.59,0.17
Basement Studio,"Brightwood Park, Crestwood, Petworth",51,38.9413,-77.03284,Entire Properties,2,https://www.airbnb.com/rooms/925318,1,1,no information,2013-02-05,within an hour,100%,100%,4.7,4.6,4.7,4.9,4.8,4.4,4.4,0.07
1BR Suite in the Heart of Things,"Friendship Heights, American University Park, Tenleytown",92,38.9604,-77.08253,Private room,2,https://www.airbnb.com/rooms/945426,1,1,with hosted license,2013-02-17,within an hour,100%,99%,4.95,4.96,4.93,4.97,4.98,4.96,4.94,3.61
Perfect studio in VERY central DC,"Shaw, Logan Circle",152,38.91007,-77.03316,Entire Properties,4,https://www.airbnb.com/rooms/1026034,1,1,with hosted license,2012-04-04,within an hour,100%,98%,4.95,4.93,4.94,4.97,4.99,4.98,4.83,3.63
Heart DuPont - Deluxe 1BR/1BA/Kitchen/Opt Parking,"Dupont Circle, Connecticut Avenue/K Street",155,38.90989,-77.04602,Entire Properties,6,https://www.airbnb.com/rooms/1092713,1,1,with hosted license,2011-04-15,within an hour,100%,100%,4.57,4.7,4.63,4.85,4.87,4.94,4.53,3.36
Skylit Studio in Adams Morgan,"Kalorama Heights, Adams Morgan, Lanier Heights",120,38.91843,-77.04338,Entire Properties,2,https://www.airbnb.com/rooms/1112617,1,1,with hosted license,2013-04-26,within an hour,100%,75%,4.82,4.91,4.82,4.94,4.93,4.93,4.78,1.76
1890s Rowhouse @ Union Inn,"Union Station, Stanton Park, Kingman Park",198,38.90419,-77.0022,Entire Properties,8,https://www.airbnb.com/rooms/1177438,2,2,with hosted license,2013-04-21,within an hour,100%,99%,4.76,4.72,4.7,4.91,4.93,4.82,4.72,2.23
02. Small furnished room in Washington,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",70,38.87164,-77.01247,Private room,1,https://www.airbnb.com/rooms/1205516,1,1,with hosted license,2012-09-25,within an hour,100%,100%,4.46,4.64,4.42,4.85,4.84,4.21,4.42,3.17
Railroad Retirement w/Private Bath in Chevy Chase!,"Hawthorne, Barnaby Woods, Chevy Chase",78,38.96594,-77.078,Private room,2,https://www.airbnb.com/rooms/1245292,1,1,no information,2013-03-13,within an hour,100%,100%,4.91,4.94,4.89,4.97,4.98,4.95,4.87,2.99
"Brand New, Full APT Near Georgetown w Free Parking","Cathedral Heights, McLean Gardens, Glover Park",203,38.92090039016265,-77.07768982807863,Entire Properties,4,https://www.airbnb.com/rooms/1336217,1,1,with hosted license,2013-02-01,within an hour,100%,100%,4.94,4.94,5,4.94,5,5,4.92,2.95
6 month minimum stay: Exquisite Studio AdMo,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",70,38.92806,-77.03796,Entire Properties,2,https://www.airbnb.com/rooms/1446230,1,1,no information,2012-09-15,within an hour,100%,95%,4.71,4.71,4.71,4.67,4.62,4.81,4.67,0.16
★Free Parking . Queen Bed Comfy With Patio ★,"North Michigan Park, Michigan Park, University Heights",65,38.94858,-76.99163,Private room,2,https://www.airbnb.com/rooms/1472332,1,1,with hosted license,2013-08-01,within an hour,90%,100%,4.85,4.8,4.87,4.85,4.83,4.66,4.78,0.95
"Master BR (free parking), Columbia Heights","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",120,38.9316,-77.02438,Private room,2,https://www.airbnb.com/rooms/1484387,1,1,no information,2012-06-14,N/A,N/A,N/A,4.69,4.44,4.81,4.69,4.88,4.13,4.44,0.12
"Chic Oasis ♥ Clean, Close to Metro","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",118,38.93441,-77.02773,Entire Properties,7,https://www.airbnb.com/rooms/1488282,1,2,with hosted license,2012-06-13,within an hour,100%,99%,4.75,4.8,4.73,4.88,4.87,4.77,4.75,4.19
Park View Apt: kitchen | wifi | garden,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",106,38.93362,-77.02555,Entire Properties,2,https://www.airbnb.com/rooms/1537822,1,1,with hosted license,2013-08-16,within an hour,100%,99%,4.86,4.88,4.83,4.92,4.91,4.74,4.8,3.63
"Surprisingly Sunny, Arty Apartment","Dupont Circle, Connecticut Avenue/K Street",145,38.91579,-77.04042,Entire Properties,2,https://www.airbnb.com/rooms/1571112,1,1,with hosted license,2013-08-23,within an hour,100%,100%,4.94,4.96,4.94,4.96,4.95,4.96,4.91,1.07
Private row house apartment nestled in Shaw,"Shaw, Logan Circle",150,38.9126,-77.01748,Entire Properties,4,https://www.airbnb.com/rooms/1628328,1,1,with hosted license,2013-09-05,within an hour,100%,100%,4.93,4.95,4.98,4.95,4.98,4.8,4.88,4.1
Peaceful Oasis Near U St/Dupont; Private Bedroom,"Kalorama Heights, Adams Morgan, Lanier Heights",89,38.92042,-77.03977,Private room,1,https://www.airbnb.com/rooms/1641184,1,1,no information,2013-09-08,within a day,100%,100%,4.89,4.89,4.81,4.93,4.96,4.91,4.79,0.58
Private & Comfortable NoMa Studio,"Union Station, Stanton Park, Kingman Park",125,38.90438,-77.00177,Entire Properties,2,https://www.airbnb.com/rooms/1667080,1,1,with hosted license,2013-09-14,within a few hours,100%,100%,4.9,4.95,4.92,4.98,4.96,4.78,4.85,2.38
