name,neighbourhood_cleansed,price_USD,latitude,longitude,property_group,accommodates,listing_url,bathrooms,bedrooms,license,host_since,host_response_time,host_response_rate,host_acceptance_rate,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
Bright Sunny Capitol Hill Studio,"Capitol Hill, Lincoln Park",139,38.8874605,-76.9992831,Private room,2,https://www.airbnb.com/rooms/10405545,1,1,Exempt,2016-01-06,within an hour,100%,100%,4.91,4.9,4.94,4.97,4.95,4.94,4.75,1.44
Beautiful Columbia Heights apartment!,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",151,38.92675,-77.02872,Entire Properties,6,https://www.airbnb.com/rooms/10436526,2,1,with hosted license,2016-01-07,within an hour,100%,100%,4.88,4.91,4.88,4.94,4.94,4.87,4.82,3.06
Lovely room in historic row house,"Brightwood Park, Crestwood, Petworth",75,38.94347,-77.03499,Private room,2,https://www.airbnb.com/rooms/10453467,1.5,1,no information,2016-01-08,within a day,50%,N/A,4.97,4.94,4.97,5,5,4.83,4.88,0.64
"Historic Home Next to Capitol, Walk to Everything","Capitol Hill, Lincoln Park",251,38.88299,-77.00673,Entire Properties,4,https://www.airbnb.com/rooms/10526371,1,1,Exempt,2014-07-19,within an hour,100%,100%,4.96,4.97,4.95,4.95,4.95,4.97,4.89,5.53
Cozy Home in Capitol Hill/H St.,"Union Station, Stanton Park, Kingman Park",140,38.89909,-76.98726,Entire Properties,4,https://www.airbnb.com/rooms/10542403,1,1,with hosted license,2016-01-12,within an hour,100%,98%,4.97,4.98,4.98,4.97,4.99,4.84,4.94,2.98
Newly renovated Capitol Hill studio #302,"Capitol Hill, Lincoln Park",145,38.88759,-76.99931,Entire Properties,2,https://www.airbnb.com/rooms/10543751,1,1,Exempt,2016-01-06,within an hour,100%,100%,4.96,4.98,4.91,4.93,4.96,4.96,4.8,0.56
Gorgeous 1 BD in Capitol Hill,"Capitol Hill, Lincoln Park",192,38.8874721,-76.999219,Entire Properties,4,https://www.airbnb.com/rooms/10543985,1,1,Exempt,2016-01-06,within an hour,100%,100%,4.86,4.94,4.91,4.99,4.98,4.97,4.77,0.93
Newly renovated 1 BD near Capitol,"Capitol Hill, Lincoln Park",512,38.88745,-76.99925,Entire Properties,4,https://www.airbnb.com/rooms/10544363,1,1,Exempt,2016-01-06,within an hour,100%,100%,4.87,4.96,4.87,4.93,4.87,4.99,4.77,0.74
"National Mall, Monuments & Museums","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",385,38.88255,-77.02036,Entire Properties,9,https://www.airbnb.com/rooms/10617103,3.5,4,no information,2013-03-05,within a few hours,80%,100%,4.87,4.9,4.87,4.98,4.93,4.94,4.79,1.76
Close2Everything/Freeparking/HipNeighborhood,"Capitol Hill, Lincoln Park",119,38.88335,-76.9851,Entire Properties,2,https://www.airbnb.com/rooms/10626368,1,1,with hosted license,2014-06-15,within an hour,100%,100%,4.87,4.94,4.85,4.96,4.95,4.93,4.89,4.6
Private Eco Apartment,"Hawthorne, Barnaby Woods, Chevy Chase",85,38.9618,-77.07617,Entire Properties,2,https://www.airbnb.com/rooms/10659762,1,1,no information,2013-12-16,within an hour,100%,100%,4.78,4.84,4.83,4.91,4.95,4.87,4.75,1.3
"Sunny private bedroom in Washington, DC","Edgewood, Bloomingdale, Truxton Circle, Eckington",60,38.91216,-77.00809,Private room,2,https://www.airbnb.com/rooms/10685388,1,2,with hosted license,2008-12-02,within an hour,100%,100%,4.83,4.91,4.64,4.95,4.96,4.74,4.75,1.6
Swank Uptown Apartment,"Brightwood Park, Crestwood, Petworth",155,38.93834,-77.02664,Entire Properties,4,https://www.airbnb.com/rooms/10694497,1,1,with hosted license,2016-01-19,within an hour,100%,100%,4.8,4.95,4.9,4.9,4.85,4.92,4.75,1.55
Capitol Hill Townhome - Venice Bdrm,"Union Station, Stanton Park, Kingman Park",118,38.89411,-76.98617,Private room,2,https://www.airbnb.com/rooms/10860997,1.5,1,with hosted license,2015-10-11,within an hour,100%,100%,4.95,4.98,4.94,4.91,4.9,4.73,4.89,1.13
Family Friendly Cleveland Park by the Metro & Zoo!,"North Cleveland Park, Forest Hills, Van Ness",250,38.94221878051758,-77.05854797363281,Entire Properties,4,https://www.airbnb.com/rooms/10875641,1,2,with hosted license,2011-01-11,within a day,57%,79%,4.66,4.76,4.84,4.88,4.81,4.95,4.58,0.86
Modern + Spacious 2 Bed/2 Bath w/ Secure Parking!,"Edgewood, Bloomingdale, Truxton Circle, Eckington",243,38.9171,-77.00989,Entire Properties,6,https://www.airbnb.com/rooms/10978189,2,2,with hosted license,2014-12-09,within an hour,100%,100%,4.97,4.97,4.97,4.99,5,4.86,4.89,2.42
Elegant home near the Cathedral,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",200,38.93031,-77.07285,Entire Properties,6,https://www.airbnb.com/rooms/10999657,2,2,no information,2016-01-06,within an hour,100%,97%,4.85,4.91,4.87,4.92,4.91,4.96,4.83,1.62
Entire Capitol Hill apartment in great location,"Capitol Hill, Lincoln Park",175,38.88267,-76.99885,Entire Properties,4,https://www.airbnb.com/rooms/11126528,1,1,with both hosted and unhosted license,2016-02-07,within an hour,100%,97%,4.98,4.98,4.97,4.99,4.98,4.99,4.91,3.49
Modern 1BR/1BA in trendy Petworth,"Brightwood Park, Crestwood, Petworth",100,38.94283,-77.02255,Entire Properties,2,https://www.airbnb.com/rooms/11144448,1,1,with hosted license,2012-05-29,within an hour,100%,93%,4.88,4.95,4.95,4.9,4.94,4.78,4.84,2.16
Ellington Place,"Kalorama Heights, Adams Morgan, Lanier Heights",175,38.92245,-77.04767,Entire Properties,4,https://www.airbnb.com/rooms/11168876,1,2,with unhosted license,2016-02-09,within an hour,100%,100%,4.87,4.93,4.85,4.96,4.93,4.96,4.84,1.69
#3 Foggy Bottom/Georgetown Apartment,"West End, Foggy Bottom, GWU",185,38.90455,-77.05514,Entire Properties,4,https://www.airbnb.com/rooms/11176974,1,1,Exempt,2016-02-10,within an hour,100%,100%,4.81,4.91,4.75,4.93,4.86,4.91,4.72,5.24
Walk to the Capitol From a Modern Studio in a Historic Area,"Capitol Hill, Lincoln Park",151,38.88973,-76.99003,Entire Properties,2,https://www.airbnb.com/rooms/11183754,1,1,with hosted license,2016-02-10,within an hour,100%,100%,4.95,4.99,4.97,4.99,4.96,4.95,4.92,3.39
Nice room right next to the petworth metro,"Brightwood Park, Crestwood, Petworth",35,38.93767,-77.02321,Private room,1,https://www.airbnb.com/rooms/11296745,2,1,no information,2010-12-10,within an hour,88%,67%,4.7,4.7,4.15,4.75,4.65,4.7,4.7,0.29
Privet 1br BSMT Apt with Free Parking-NW DC,"Takoma, Brightwood, Manor Park",91,38.96634,-77.02502,Entire Properties,4,https://www.airbnb.com/rooms/11357292,1,1,with both hosted and unhosted license,2015-11-28,within an hour,100%,97%,4.7,4.86,4.84,4.98,4.98,4.79,4.77,0.68
Cozy Charm in DC Hub,"Howard University, Le Droit Park, Cardozo/Shaw",195,38.9154256,-77.0278993,Entire Properties,2,https://www.airbnb.com/rooms/11362332,1,1,with hosted license,2014-11-30,within an hour,100%,82%,4.95,4.98,4.95,5,5,5,4.95,6.44
Stunning Supreme Court View 1 block to Capitol,"Capitol Hill, Lincoln Park",165,38.89033,-77.00325,Entire Properties,4,https://www.airbnb.com/rooms/11371592,1,2,no information,2013-11-27,within an hour,100%,94%,4.87,4.89,4.84,4.96,4.91,4.95,4.73,0.55
Historic Anacostia Home,Historic Anacostia,167,38.86472948716556,-76.98973402472198,Entire Properties,4,https://www.airbnb.com/rooms/11413078,1.5,2,with hosted license,2013-07-10,within an hour,100%,100%,4.71,4.71,4.43,5,5,4.43,4.86,0.09
Capitol Hill Suite 2 min H St King Bed,"Union Station, Stanton Park, Kingman Park",70,38.89837,-76.9958,Entire Properties,2,https://www.airbnb.com/rooms/11413391,1,2,no information,2014-06-20,within a day,100%,90%,4.58,4.81,4.76,4.96,4.93,4.88,4.63,1.27
Beautiful Capitol Hill -Sonoma Room,"Union Station, Stanton Park, Kingman Park",138,38.8942,-76.98603,Private room,2,https://www.airbnb.com/rooms/11455321,1,1,with hosted license,2015-10-11,within an hour,100%,100%,4.98,5,4.96,5,4.98,4.87,4.94,0.51
Comfy Room in H St/Easy to Downtown/Free parking,"Ivy City, Arboretum, Trinidad, Carver Langston",69,38.90233,-76.98163,Private room,1,https://www.airbnb.com/rooms/11529762,1.5,1,with hosted license,2014-08-25,within an hour,100%,90%,4.8,4.86,4.9,4.91,4.89,4.39,4.71,6.03
Capitol Hill 2-BR in Historic Townhome,"Capitol Hill, Lincoln Park",263,38.8845,-77.00185,Entire Properties,4,https://www.airbnb.com/rooms/11543343,1,2,with hosted license,2016-02-29,within an hour,100%,100%,4.93,4.96,4.9,4.98,4.97,4.98,4.87,2.58
Stunning new 1BR in Capitol Hill,"Capitol Hill, Lincoln Park",291,38.88759,-76.99931,Entire Properties,4,https://www.airbnb.com/rooms/11553508,1,1,no information,2016-01-06,within an hour,100%,100%,4.76,4.88,4.84,4.96,4.92,4.96,4.6,0.25
Modern one bedroom apartment,"Edgewood, Bloomingdale, Truxton Circle, Eckington",97,38.91854,-77.01168,Entire Properties,2,https://www.airbnb.com/rooms/11553692,1,1,with hosted license,2015-04-04,within a day,100%,98%,4.93,4.97,4.92,4.98,4.98,4.77,4.9,1.32
Beautiful Apt in NW D.C. Near 2 Metro's,"Friendship Heights, American University Park, Tenleytown",95,38.95238,-77.07245,Entire Properties,4,https://www.airbnb.com/rooms/11555687,1,1,with hosted license,2016-02-24,within an hour,100%,100%,4.88,4.9,4.87,4.96,4.95,4.96,4.85,2.62
Gorgeous Apartment with Parking near the 9:30 Club,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",95,38.92322,-77.02655,Entire Properties,2,https://www.airbnb.com/rooms/11599968,1,1,no information,2015-05-25,within an hour,100%,N/A,4.79,4.89,4.72,4.93,4.95,4.86,4.82,3.26
Classic Colonial 3BR Home in the Heart of Petworth,"Brightwood Park, Crestwood, Petworth",220,38.94478,-77.02662,Entire Properties,6,https://www.airbnb.com/rooms/11637325,2,3,with hosted license,2016-03-05,within an hour,100%,100%,4.8,4.86,4.81,4.94,4.95,4.74,4.8,1.68
"Garden Underground - private entrance, parking","Capitol View, Marshall Heights, Benning Heights",87,38.8845,-76.94345,Entire Properties,2,https://www.airbnb.com/rooms/11639515,1,1,with hosted license,2012-03-24,within an hour,100%,100%,4.81,4.9,4.92,4.95,4.97,4.42,4.79,5.98
"Clean,Cozy, and Affordable-1","Capitol View, Marshall Heights, Benning Heights",52,38.8845,-76.92681,Private room,1,https://www.airbnb.com/rooms/11689750,1,1,with hosted license,2015-05-06,within an hour,100%,85%,4.93,4.93,4.99,4.99,4.97,4.31,4.91,0.71
Prime Loc. Quiet 1 bdrm ensuite.,"Capitol Hill, Lincoln Park",110,38.88981,-77.0011,Private room,1,https://www.airbnb.com/rooms/11714338,1,1,with hosted license,2013-03-07,within a few hours,100%,97%,4.9,4.85,4.8,4.95,4.96,4.97,4.83,1.17
Charming  Single Family House,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",122,38.87051,-76.97517,Entire Properties,4,https://www.airbnb.com/rooms/11720627,1.5,2,Exempt,2016-03-06,within an hour,100%,100%,4.8,4.88,4.82,4.98,4.94,4.33,4.82,3.79
Two Story Carriage House & balcony!,"Shaw, Logan Circle",139,38.91186,-77.01956,Entire Properties,4,https://www.airbnb.com/rooms/11721962,1,1,with hosted license,2014-05-11,within an hour,100%,94%,4.94,4.97,4.93,4.97,4.99,4.9,4.92,3.2
Hill Home 1.5 Blocks from Metro,"Capitol Hill, Lincoln Park",250,38.8896,-76.98117,Entire Properties,6,https://www.airbnb.com/rooms/11759609,3.5,4,with hosted license,2015-12-23,within a day,100%,0%,4.89,4.91,4.98,4.98,5,4.87,4.84,0.46
Prime Loc. Quiet 1 bdrm priv bath,"Capitol Hill, Lincoln Park",100,38.88856,-77.00089,Private room,2,https://www.airbnb.com/rooms/11809415,1,1,with hosted license,2013-03-07,within a few hours,100%,97%,4.94,4.96,4.93,4.96,4.95,4.99,4.93,1.6
Lovely private apt. in quiet neighborhood,"Takoma, Brightwood, Manor Park",104,38.96748,-77.03124,Entire Properties,4,https://www.airbnb.com/rooms/11838693,1,1,with both hosted and unhosted license,2016-03-15,within an hour,100%,99%,4.89,4.94,4.94,4.97,4.96,4.83,4.9,4.77
"U Street Dupont, Adams Morgan 3","Dupont Circle, Connecticut Avenue/K Street",112,38.91722,-77.04001,Private room,2,https://www.airbnb.com/rooms/11848786,1.5,1,with both hosted and unhosted license,2013-03-16,within an hour,100%,97%,4.71,4.93,4.29,4.79,4.86,4.93,4.57,0.14
Heart of the City: NoMa/Capitol Hill,"Union Station, Stanton Park, Kingman Park",250,38.90561,-76.99999,Entire Properties,5,https://www.airbnb.com/rooms/11865642,2.5,2,with hosted license,2016-03-16,within an hour,100%,98%,4.89,4.94,4.9,4.93,4.91,4.92,4.89,3.62
#1 Foggy Bottom/Georgetown Apartment,"West End, Foggy Bottom, GWU",165,38.90332,-77.05329,Entire Properties,4,https://www.airbnb.com/rooms/11866275,1,1,Exempt,2016-02-10,within an hour,100%,100%,4.78,4.87,4.72,4.94,4.9,4.91,4.75,3.88
#2 Foggy Bottom/Georgetown Apartment,"West End, Foggy Bottom, GWU",196,38.90292,-77.05319,Entire Properties,4,https://www.airbnb.com/rooms/11868093,1,1,Exempt,2016-02-10,within an hour,100%,100%,4.78,4.89,4.76,4.95,4.87,4.94,4.74,3.97
#4 Foggy Bottom/Georgetown Apartment,"West End, Foggy Bottom, GWU",174,38.90312,-77.05338,Entire Properties,4,https://www.airbnb.com/rooms/11868625,1,1,Exempt,2016-02-10,within an hour,100%,100%,4.75,4.86,4.71,4.94,4.84,4.9,4.71,4.19
U St Dupont Adams Morgan Townhouse4,"Dupont Circle, Connecticut Avenue/K Street",180,38.91722,-77.04001,Private room,2,https://www.airbnb.com/rooms/11911646,1.5,1,with both hosted and unhosted license,2013-03-16,within an hour,100%,97%,4.71,4.76,4.29,5,4.9,4.9,4.7,0.21
Garden of Eden: Private Room by Park,"Eastland Gardens, Kenilworth",35,38.90733,-76.94565,Private room,2,https://www.airbnb.com/rooms/11946738,1.5,1,no information,2013-04-30,within a few hours,90%,87%,4.24,4.35,3.82,4.47,4.12,4.29,4.12,0.22
Blazing Fast WIFI -  Gorgeous 1890s Carriage House,"Capitol Hill, Lincoln Park",230,38.89067,-77.00155,Entire Properties,6,https://www.airbnb.com/rooms/11970099,1.5,2,no information,2013-11-27,within an hour,100%,94%,4.96,5,4.96,5,4.93,5,4.86,0.3
Gem in a Glover Park,"Cathedral Heights, McLean Gardens, Glover Park",70,38.92171,-77.07715,Private room,2,https://www.airbnb.com/rooms/11970434,1,1,no information,2016-03-21,a few days or more,14%,50%,4.59,4.75,4.62,4.76,4.65,4.86,4.72,1.84
Bright modern + comfortable DC base,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",159,38.93008,-77.03914,Entire Properties,4,https://www.airbnb.com/rooms/12007279,1,1,with both hosted and unhosted license,2013-10-06,within a few hours,100%,100%,4.9,4.97,4.95,4.97,4.98,4.87,4.82,0.63
Cozy Home away from Home,"Takoma, Brightwood, Manor Park",94,38.96658,-77.02004,Private room,2,https://www.airbnb.com/rooms/12026532,1,1,Exempt,2016-03-24,within an hour,100%,100%,4.74,4.83,4.87,4.96,4.83,4.7,4.7,1.79
"Entire Unit on 2nd floor 2B2B, H street Corridor","Ivy City, Arboretum, Trinidad, Carver Langston",120,38.902699,-76.979187,Entire Properties,6,https://www.airbnb.com/rooms/12113216,2,2,with hosted license,2019-05-07,N/A,N/A,N/A,4.79,4.85,4.78,4.88,4.95,4.57,4.76,7.13
Veteran-Owned 1 block to Capitol Top Location,"Capitol Hill, Lincoln Park",135,38.89034,-77.00323,Entire Properties,4,https://www.airbnb.com/rooms/12152132,1,1,no information,2013-11-27,within an hour,100%,94%,4.78,4.84,4.76,4.89,4.91,4.98,4.73,0.55
Basement studio w/ private Parking and kitchen,"Brightwood Park, Crestwood, Petworth",75,38.94813,-77.02496,Entire Properties,3,https://www.airbnb.com/rooms/12173928,1.5,1,with hosted license,2016-04-01,within an hour,100%,100%,4.35,4.7,4.53,4.81,4.69,4.52,4.49,2.23
Charming Victorian in the heart of Washington DC,"Shaw, Logan Circle",93,38.91136,-77.02112,Private room,2,https://www.airbnb.com/rooms/12202079,1.5,1,with hosted license,2014-05-11,within an hour,100%,94%,4.97,4.99,4.95,4.98,4.99,4.92,4.92,3.17
Cozy Mother-in-law Suite in the heart of DC,"Shaw, Logan Circle",120,38.91021,-77.01923,Entire Properties,2,https://www.airbnb.com/rooms/12243205,1,1,with hosted license,2014-05-11,within an hour,100%,94%,4.92,4.93,4.93,4.99,5,4.95,4.89,3.12
"Location, Location, Location - US Capitol & more","Capitol Hill, Lincoln Park",120,38.89128,-76.99913,Entire Properties,3,https://www.airbnb.com/rooms/12253009,1,1,with hosted license,2016-04-05,within an hour,100%,100%,4.94,4.98,4.96,4.98,4.97,4.99,4.92,5.63
Furnished Executive Room #5 near convention center,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",55,38.90427,-77.02751,Private room,1,https://www.airbnb.com/rooms/12289125,1,1,no information,2013-08-09,within an hour,100%,97%,4.69,4.77,4.59,4.84,4.91,4.94,4.7,0.94
"SPACIOUS 1 BR 2 Bath Condo, near metro green line","Congress Heights, Bellevue, Washington Highlands",80,38.83695,-76.99852,Entire Floor/Loft,2,https://www.airbnb.com/rooms/12314626,2,1,no information,2014-10-02,within an hour,100%,100%,4.81,4.91,4.78,4.98,4.98,4.57,4.88,2.56
Capitol Hill comfy 1BR basement apt - Free parking,"Union Station, Stanton Park, Kingman Park",127,38.89813995361328,-76.9924545288086,Entire Properties,3,https://www.airbnb.com/rooms/12396888,1,1,with hosted license,2015-09-19,within an hour,100%,100%,4.99,4.98,4.98,4.99,5,4.96,4.98,1.65
Vet Owned 1 block to Capitol Top Floor Nice Spot,"Capitol Hill, Lincoln Park",225,38.89032745361328,-77.00325012207031,Entire Properties,4,https://www.airbnb.com/rooms/12399984,1,2,no information,2013-11-27,within an hour,100%,94%,4.84,4.92,4.94,4.9,4.88,4.98,4.76,0.5
Cozy Spot Blazing WIFI.  Gorgeous East Capitol St,"Capitol Hill, Lincoln Park",140,38.89014,-77.00021,Entire Properties,2,https://www.airbnb.com/rooms/12400338,1,1,no information,2013-11-27,within an hour,100%,94%,4.59,4.59,4.67,4.72,4.67,4.87,4.52,0.46
Modern and Very  Private Space  - Capitol Hill,"Capitol Hill, Lincoln Park",125,38.88156,-76.99892,Entire Properties,2,https://www.airbnb.com/rooms/12423375,1,1,with hosted license,2012-04-24,within an hour,100%,98%,4.97,4.98,4.96,4.97,4.98,4.98,4.94,3.72
Spacious 1BR |Full Kitchen | Gym | Wifi |NearMetro,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",286,38.899914,-77.03313,Entire Properties,3,https://www.airbnb.com/rooms/12446479,1,1,Exempt,2015-03-30,within an hour,94%,99%,3.33,3.67,3.67,3.33,3.67,3.67,3.67,0.04
Woodley Park Guest House: Lovely Room + Breakfast,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",265,38.92521,-77.05284,Private room and breakfast,2,https://www.airbnb.com/rooms/12532661,1,1,Exempt,2014-03-04,a few days or more,25%,19%,4.86,4.86,5,4.93,5,5,4.93,0.14
"Union Station, 3 BR/4 Bed, secure parking included","Union Station, Stanton Park, Kingman Park",425,38.89659,-77.00222,Entire Properties,6,https://www.airbnb.com/rooms/12535607,1.5,3,with both hosted and unhosted license,2015-04-19,within an hour,100%,100%,4.99,5,5,4.99,5,4.98,4.84,1.44
Adams Morgan Condo Basic Furnished/Discounted,"Kalorama Heights, Adams Morgan, Lanier Heights",108,38.92627,-77.04172,Entire Properties,2,https://www.airbnb.com/rooms/12539684,1,1,Exempt,2014-04-24,within an hour,100%,55%,4.32,4.69,4.84,4.69,4.81,4.94,4.47,0.38
Historic Mansion 2 blks to Capitol,"Capitol Hill, Lincoln Park",666,38.8851,-77.00546,Entire Properties,11,https://www.airbnb.com/rooms/12543010,3.5,6,with hosted license,2014-09-17,within an hour,100%,99%,4.84,4.67,4.82,4.95,5,4.98,4.63,0.58
One bedroom U Steet Corridor,"Howard University, Le Droit Park, Cardozo/Shaw",185,38.91506,-77.03098,Entire Properties,4,https://www.airbnb.com/rooms/12603290,1,1,with hosted license,2016-04-22,within a few hours,100%,97%,4.92,4.98,4.98,4.98,5,4.98,4.92,1.29
Beautiful townhouse at great location w/parking!,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",481,38.87858,-77.0207,Entire Properties,6,https://www.airbnb.com/rooms/12623775,2,3,with hosted license,2014-01-29,within an hour,100%,98%,4.88,4.9,4.89,4.88,4.95,4.96,4.78,1.92
Row home room in Washington,"Edgewood, Bloomingdale, Truxton Circle, Eckington",69,38.91724,-77.00242,Private room,1,https://www.airbnb.com/rooms/12623839,1.5,1,with hosted license,2013-05-12,within an hour,100%,94%,4.83,4.9,4.81,4.9,4.89,4.59,4.81,1.15
Private room in Historic Anacostia,"Sheridan, Barry Farm, Buena Vista",70,38.86055,-76.99209,Private room,1,https://www.airbnb.com/rooms/12637339,1.5,1,no information,2015-05-17,within a day,80%,94%,5,5,5,5,5,5,5,0.09
Relaxing Rowhouse Room in NE DC,"Mayfair, Hillbrook, Mahaning Heights",25,38.90037,-76.93872,Private room,1,https://www.airbnb.com/rooms/12656977,1.5,1,no information,2011-02-28,within a few hours,100%,33%,5,5,5,5,5,4.67,5,0.06
DC Gem- A charming hidden oasis,"Woodridge, Fort Lincoln, Gateway",207,38.92572,-76.96046,Entire Properties,6,https://www.airbnb.com/rooms/12758628,2.5,3,with unhosted license,2016-02-25,within a day,100%,100%,4.76,4.85,4.8,4.83,4.9,4.71,4.8,1.13
"Contemporary, Spacious 1-Bedroom","Howard University, Le Droit Park, Cardozo/Shaw",200,38.91623,-77.02015,Entire Properties,2,https://www.airbnb.com/rooms/12758931,1,1,with hosted license,2016-04-28,within a few hours,100%,100%,5,5,5,5,5,4.96,4.99,1.15
"Clean, Sleek and Modern 1-Bedroom Basement Apt","Brightwood Park, Crestwood, Petworth",110,38.94128,-77.01738,Entire Properties,2,https://www.airbnb.com/rooms/12833258,1,1,with hosted license,2016-04-05,within an hour,100%,100%,4.87,4.94,4.94,4.95,4.91,4.73,4.76,1.21
3 blocks to Capitol.  Entire Top Floors  Vet Owned,"Capitol Hill, Lincoln Park",258,38.89068,-77.00155,Entire Properties,4,https://www.airbnb.com/rooms/12850682,1,2,no information,2013-11-27,within an hour,100%,94%,5,5,4.91,5,5,5,4.82,0.11
2BR and 2BH Apartment in Historic DC,"Edgewood, Bloomingdale, Truxton Circle, Eckington",172,38.91927,-77.01233,Entire Properties,4,https://www.airbnb.com/rooms/12851881,2,2,with hosted license,2013-12-17,within an hour,100%,100%,4.96,4.95,4.98,5,5,4.94,4.95,2.9
Great View of Supreme Court Veteran Owned 1 blk to,"Capitol Hill, Lincoln Park",225,38.89032745361328,-77.00325012207031,Entire Properties,4,https://www.airbnb.com/rooms/12864169,1,2,no information,2013-11-27,within an hour,100%,94%,4.93,4.99,4.94,5,4.9,4.99,4.83,0.76
Charming row house apartment near everything,"Dupont Circle, Connecticut Avenue/K Street",197,38.91374,-77.03842,Entire Properties,4,https://www.airbnb.com/rooms/12865283,1,1,no information,2013-02-15,within an hour,100%,100%,4.88,4.94,4.78,4.97,4.96,4.94,4.84,5.21
Tiny House - Vet Owned - 3 blocks to Capitol Patio,"Capitol Hill, Lincoln Park",165,38.89053,-77.00139,Entire Properties,4,https://www.airbnb.com/rooms/12866552,1,1,no information,2013-11-27,within an hour,100%,94%,4.67,5,4.78,5,5,5,4.78,0.09
Great Carriage House - 3 blks to Cap -  Fast WIFI,"Capitol Hill, Lincoln Park",190,38.89053,-77.00139,Entire Properties,4,https://www.airbnb.com/rooms/12866878,1,1,no information,2013-11-27,within an hour,100%,94%,4.9,5,4.87,5,4.97,4.97,4.8,0.32
Garden Suite,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",130,38.93382,-77.06471,Entire Properties,2,https://www.airbnb.com/rooms/12886507,1,1,with hosted license,2013-10-10,within an hour,100%,100%,4.96,4.95,4.96,4.97,4.99,4.99,4.92,1.67
"Private Room in Quiet, Eclectic Home in Quaint Mt. Pleasant","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",69,38.93423,-77.04241,Private room,1,https://www.airbnb.com/rooms/12926545,1,1,with both hosted and unhosted license,2013-08-03,within an hour,100%,98%,4.96,4.98,4.98,4.96,4.89,4.88,4.93,2.27
Charming Private Room & Private Bath fresh Clean!!,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",195,38.93323,-77.02849,Private room,2,https://www.airbnb.com/rooms/12935921,1,1,Exempt,2015-09-28,within an hour,100%,100%,4.95,5,5,4.9,4.95,4.86,4.86,0.22
Private Bedroom Suite w/ Free Parking & EV-Charger,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",54,38.86104,-76.9709,Private room,2,https://www.airbnb.com/rooms/12973607,1,1,with hosted license,2016-02-10,within an hour,100%,97%,4.97,4.97,4.95,4.94,4.97,4.71,4.92,2.2
"Cute, Quaint and Quiet(A Hipster's Reading Nook)","Woodridge, Fort Lincoln, Gateway",33,38.93417,-76.96509,Private room,1,https://www.airbnb.com/rooms/13001509,1,1,with hosted license,2016-04-19,within a few hours,100%,70%,4.44,4.37,4.3,4.73,4.74,4.5,4.46,0.29
3BD/2.5 BTR w/ metro & free street parking,"Brightwood Park, Crestwood, Petworth",220,38.94744,-77.02246,Entire Properties,8,https://www.airbnb.com/rooms/13005087,2.5,3,with hosted license,2016-04-01,within an hour,100%,100%,4.68,4.74,4.78,4.92,4.84,4.61,4.62,2.95
Book Filled Urban Oasis,"Edgewood, Bloomingdale, Truxton Circle, Eckington",64,38.91247,-77.01057,Private room,2,https://www.airbnb.com/rooms/13038149,1,1,with hosted license,2014-11-02,within an hour,100%,97%,4.84,4.88,4.83,4.93,4.9,4.66,4.77,2.97
Best place in the Center of Foggy Bottom,"West End, Foggy Bottom, GWU",157,38.89957,-77.05506,Entire Properties,2,https://www.airbnb.com/rooms/13063902,1,1,no information,2014-06-15,within an hour,100%,100%,4.86,NA,NA,NA,NA,NA,NA,NA
Veteran Owned 1 block to Capitol Great Spot,"Capitol Hill, Lincoln Park",145,38.89032745361328,-77.00325012207031,Entire Properties,4,https://www.airbnb.com/rooms/13078902,1,2,no information,2013-11-27,within an hour,100%,94%,4.89,4.89,4.87,4.96,4.89,4.96,4.74,0.67
Newly renovated Gem of a Georgetown Home,"Georgetown, Burleith/Hillandale",152,38.91011,-77.05508,Entire Properties,4,https://www.airbnb.com/rooms/13096118,1,2,no information,2009-05-18,within an hour,100%,99%,4.73,4.72,4.77,4.85,4.81,4.87,4.54,0.81
Great Apartment in Cleveland Park,"Friendship Heights, American University Park, Tenleytown",200,38.94485,-77.07112,Entire Properties,4,https://www.airbnb.com/rooms/13096614,1,2,with hosted license,2016-05-18,within a day,100%,100%,4.92,4.98,4.98,5,4.86,4.96,4.82,0.51
